2025-02-26 20:40:18,693 INFO    MainThread:44948 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-02-26 20:40:18,694 INFO    MainThread:44948 [wandb_setup.py:_flush():67] Configure stats pid to 44948
2025-02-26 20:40:18,694 INFO    MainThread:44948 [wandb_setup.py:_flush():67] Loading settings from C:\Users\maxim\.config\wandb\settings
2025-02-26 20:40:18,694 INFO    MainThread:44948 [wandb_setup.py:_flush():67] Loading settings from C:\Users\maxim\OneDrive\Documents\UMONS\BAB3\Q2 - Intelligence Artificielle\Travaux Pratiques\TP 3\wandb\settings
2025-02-26 20:40:18,694 INFO    MainThread:44948 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-02-26 20:40:18,694 INFO    MainThread:44948 [wandb_init.py:setup_run_log_directory():647] Logging user logs to .\wandb\run-20250226_204018-6utpo7db\logs\debug.log
2025-02-26 20:40:18,694 INFO    MainThread:44948 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to .\wandb\run-20250226_204018-6utpo7db\logs\debug-internal.log
2025-02-26 20:40:18,694 INFO    MainThread:44948 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000017637058C90>
2025-02-26 20:40:18,694 INFO    MainThread:44948 [wandb_init.py:init():761] calling init triggers
2025-02-26 20:40:18,694 INFO    MainThread:44948 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-02-26 20:40:18,695 INFO    MainThread:44948 [wandb_init.py:init():784] starting backend
2025-02-26 20:40:18,695 INFO    MainThread:44948 [wandb_init.py:init():788] sending inform_init request
2025-02-26 20:40:18,717 INFO    MainThread:44948 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-02-26 20:40:18,718 INFO    MainThread:44948 [wandb_init.py:init():803] backend started and connected
2025-02-26 20:40:18,721 INFO    MainThread:44948 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-02-26 20:40:18,723 INFO    MainThread:44948 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-02-26 20:40:18,723 INFO    MainThread:44948 [wandb_init.py:init():896] updated telemetry
2025-02-26 20:40:18,764 INFO    MainThread:44948 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-02-26 20:40:19,344 INFO    MainThread:44948 [wandb_init.py:init():995] starting run threads in backend
2025-02-26 20:40:19,513 INFO    MainThread:44948 [wandb_run.py:_console_start():2377] atexit reg
2025-02-26 20:40:19,513 INFO    MainThread:44948 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-02-26 20:40:19,513 INFO    MainThread:44948 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-02-26 20:40:19,513 INFO    MainThread:44948 [wandb_run.py:_redirect():2317] Redirects installed.
2025-02-26 20:40:19,516 INFO    MainThread:44948 [wandb_init.py:init():1037] run started, returning control to user process
2025-02-26 20:40:41,234 INFO    MainThread:44948 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-26 20:40:41,234 INFO    MainThread:44948 [wandb_init.py:_pause_backend():564] pausing backend
2025-02-26 20:40:41,269 INFO    MainThread:44948 [wandb_init.py:_resume_backend():569] resuming backend
2025-02-26 20:40:41,271 INFO    MainThread:44948 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-26 20:40:41,271 INFO    MainThread:44948 [wandb_init.py:_pause_backend():564] pausing backend
2025-02-26 20:40:41,331 INFO    MainThread:44948 [wandb_init.py:_resume_backend():569] resuming backend
2025-02-26 20:40:41,475 INFO    MainThread:44948 [wandb_run.py:_finish():2112] finishing run maximilien003-universit-de-mons/tp house price/6utpo7db
2025-02-26 20:40:41,476 INFO    MainThread:44948 [jupyter.py:save_history():458] not saving jupyter history
2025-02-26 20:40:41,476 INFO    MainThread:44948 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-26 20:40:41,476 INFO    MainThread:44948 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-02-26 20:40:41,476 INFO    MainThread:44948 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 0
2025-02-26 20:40:41,477 INFO    MainThread:44948 [wandb_run.py:_restore():2324] restore
2025-02-26 20:40:41,477 INFO    MainThread:44948 [wandb_run.py:_restore():2330] restore done
2025-02-26 20:40:44,696 INFO    MsgRouterThr:44948 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-02-26 20:40:44,696 INFO    MainThread:44948 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-02-26 20:40:44,696 INFO    MainThread:44948 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-02-26 20:40:44,697 INFO    MainThread:44948 [wandb_run.py:_footer_sync_info():3919] logging synced files
