2025-03-06 09:51:42,217 INFO    MainThread:6024 [wandb_init.py:setup_run_log_directory():647] Logging user logs to .\wandb\run-20250306_095142-4jxrrppg\logs\debug.log
2025-03-06 09:51:42,218 INFO    MainThread:6024 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to .\wandb\run-20250306_095142-4jxrrppg\logs\debug-internal.log
2025-03-06 09:51:42,218 INFO    MainThread:6024 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001F2668B4890>
2025-03-06 09:51:42,218 INFO    MainThread:6024 [wandb_init.py:init():761] calling init triggers
2025-03-06 09:51:42,218 INFO    MainThread:6024 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-06 09:51:42,218 INFO    MainThread:6024 [wandb_init.py:init():784] starting backend
2025-03-06 09:51:42,218 INFO    MainThread:6024 [wandb_init.py:init():788] sending inform_init request
2025-03-06 09:51:42,220 INFO    MainThread:6024 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-03-06 09:51:42,221 INFO    MainThread:6024 [wandb_init.py:init():803] backend started and connected
2025-03-06 09:51:42,225 INFO    MainThread:6024 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-03-06 09:51:42,225 INFO    MainThread:6024 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-03-06 09:51:42,225 INFO    MainThread:6024 [wandb_init.py:init():896] updated telemetry
2025-03-06 09:51:42,269 INFO    MainThread:6024 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-03-06 09:51:42,824 INFO    MainThread:6024 [wandb_init.py:init():995] starting run threads in backend
2025-03-06 09:51:43,055 INFO    MainThread:6024 [wandb_run.py:_console_start():2377] atexit reg
2025-03-06 09:51:43,055 INFO    MainThread:6024 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-06 09:51:43,055 INFO    MainThread:6024 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-06 09:51:43,055 INFO    MainThread:6024 [wandb_run.py:_redirect():2317] Redirects installed.
2025-03-06 09:51:43,056 INFO    MainThread:6024 [wandb_init.py:init():1037] run started, returning control to user process
2025-03-06 09:53:34,031 INFO    MainThread:6024 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-06 09:53:34,031 INFO    MainThread:6024 [wandb_init.py:_pause_backend():564] pausing backend
